Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 25, 2024, 4:56:51 AM",Kudos,Activity,11972502618
"Jul 26, 2024, 5:18:52 AM",Kudos,Activity,11979956043
"Jul 26, 2024, 8:23:14 AM",Kudos,Activity,11983697346
"Jul 26, 2024, 8:23:33 AM",Kudos,Activity,11983427236
"Jul 27, 2024, 12:54:35 PM",Kudos,Activity,11991503428
"Jul 27, 2024, 6:09:35 PM",Kudos,Activity,11995852044
"Jul 27, 2024, 6:09:47 PM",Kudos,Activity,11992095816
"Jul 27, 2024, 6:10:15 PM",Kudos,Activity,11990618643
"Jul 28, 2024, 9:18:41 AM",Kudos,Activity,11999736874
"Jul 30, 2024, 4:31:35 AM",Kudos,Activity,12011622635
"Jul 30, 2024, 7:07:10 PM",Kudos,Activity,12020278383
"Jul 30, 2024, 7:07:16 PM",Kudos,Activity,12017792983
"Jul 31, 2024, 4:42:28 AM",Kudos,Activity,12021407525
"Jul 31, 2024, 4:42:33 AM",Kudos,Activity,12020949474
"Jul 31, 2024, 4:42:34 AM",Kudos,Activity,12021109178
"Jul 31, 2024, 8:02:49 AM",Kudos,Activity,12024348633
"Aug 1, 2024, 6:27:48 AM",Kudos,Activity,12029549733
"Aug 1, 2024, 6:30:18 PM",Kudos,Activity,12036678775
"Aug 2, 2024, 9:24:45 AM",Kudos,Activity,12040975765
"Aug 3, 2024, 8:27:28 AM",Kudos,Activity,12046274090
"Aug 5, 2024, 4:47:44 AM",Kudos,Activity,12059450269
"Aug 5, 2024, 4:47:57 AM",Kudos,Activity,12060659503
"Aug 6, 2024, 8:45:54 PM",Kudos,Activity,12075538691
"Aug 6, 2024, 8:45:57 PM",Kudos,Activity,12080494406
"Aug 7, 2024, 7:48:19 AM",Kudos,Activity,12083839970
"Aug 7, 2024, 7:50:36 PM",Kudos,Activity,12086807457
"Aug 8, 2024, 7:09:43 PM",Kudos,Activity,12096902937
"Aug 8, 2024, 7:10:35 PM",Kudos,Activity,12097054210
"Aug 13, 2024, 5:36:41 AM",Kudos,Activity,12129192628
"Aug 13, 2024, 5:36:52 AM",Kudos,Activity,12126401691
"Aug 13, 2024, 5:37:11 AM",Kudos,Activity,12113776664
"Aug 13, 2024, 5:38:36 AM",Kudos,Activity,12113776629
"Aug 13, 2024, 5:38:41 AM",Kudos,Activity,12113281695
"Aug 13, 2024, 5:39:19 AM",Kudos,Activity,12113281396
"Aug 13, 2024, 5:39:34 AM",Kudos,Activity,12113281197
"Aug 13, 2024, 9:11:36 PM",Kudos,Activity,12138710643
"Aug 13, 2024, 9:12:10 PM",Kudos,Activity,12140012025
"Aug 13, 2024, 9:12:42 PM",Kudos,Activity,12134622535
"Aug 15, 2024, 7:34:12 PM",Kudos,Activity,12156501067
"Aug 15, 2024, 8:41:42 PM",Kudos,Activity,12155154674
"Aug 15, 2024, 8:41:55 PM",Kudos,Activity,12155574945
"Aug 19, 2024, 8:57:39 AM",Kudos,Activity,12179391261
"Aug 20, 2024, 5:47:28 PM",Kudos,Activity,12193539709
"Aug 20, 2024, 5:47:32 PM",Kudos,Activity,12197309041
"Aug 22, 2024, 6:22:54 PM",Kudos,Activity,12215852994
"Aug 22, 2024, 6:22:58 PM",Kudos,Activity,12215391168
"Aug 22, 2024, 6:23:27 PM",Kudos,Activity,12206665083
"Aug 22, 2024, 7:30:25 PM",Kudos,Activity,12215919317
"Aug 24, 2024, 7:30:10 AM",Kudos,Activity,12220555245
"Aug 24, 2024, 10:13:34 PM",Kudos,Activity,12228672469
"Aug 24, 2024, 10:13:58 PM",Kudos,Activity,12228578981
"Aug 27, 2024, 6:30:19 PM",Kudos,Activity,12252032109
"Aug 27, 2024, 6:30:21 PM",Kudos,Activity,12255571278
"Aug 27, 2024, 6:30:33 PM",Kudos,Activity,12241713115
"Aug 28, 2024, 6:12:37 PM",Kudos,Activity,12261095735
"Aug 29, 2024, 10:49:39 AM",Kudos,Activity,12270048517
"Aug 29, 2024, 10:52:07 AM",Kudos,Activity,12266845472
"Aug 29, 2024, 10:52:09 AM",Kudos,Activity,12267434460
"Aug 29, 2024, 10:52:14 AM",Kudos,Activity,12266442006
"Aug 29, 2024, 6:52:41 PM",Kudos,Activity,12274862077
"Sep 1, 2024, 7:21:51 PM",Kudos,Activity,12298266964
"Sep 3, 2024, 5:13:37 AM",Kudos,Activity,12303360416
"Sep 3, 2024, 5:14:21 AM",Kudos,Activity,12308889633
"Sep 3, 2024, 6:14:18 PM",Kudos,Activity,12315716552
"Sep 3, 2024, 6:14:22 PM",Kudos,Activity,12311887447
"Sep 3, 2024, 7:20:31 PM",Kudos,Activity,12317495384
"Sep 3, 2024, 7:20:34 PM",Kudos,Activity,12317476717
"Sep 4, 2024, 6:12:38 PM",Kudos,Activity,12325142615
"Sep 4, 2024, 6:12:45 PM",Kudos,Activity,12325557508
"Sep 4, 2024, 6:12:50 PM",Kudos,Activity,12326402030
"Sep 5, 2024, 5:24:05 AM",Kudos,Activity,12327527090
"Sep 5, 2024, 6:09:26 PM",Kudos,Activity,12333602840
"Sep 5, 2024, 6:09:34 PM",Kudos,Activity,12334622428
"Sep 6, 2024, 11:02:43 AM",Kudos,Activity,12327327752
"Sep 6, 2024, 11:02:46 AM",Kudos,Activity,12338157008
"Sep 7, 2024, 5:45:23 AM",Kudos,Activity,12343040561
"Sep 7, 2024, 8:39:48 AM",Kudos,Activity,12346093390
"Sep 8, 2024, 8:12:27 AM",Kudos,Activity,12355155805
"Sep 8, 2024, 11:16:11 AM",Kudos,Activity,12355629142
"Sep 11, 2024, 8:53:12 PM",Kudos,Activity,12384063352
"Sep 11, 2024, 8:53:40 PM",Kudos,Activity,12380343468
"Sep 11, 2024, 8:53:57 PM",Kudos,Activity,12377606439
"Sep 11, 2024, 8:54:22 PM",Kudos,Activity,12377727494
"Sep 11, 2024, 8:54:24 PM",Kudos,Activity,12349039891
"Sep 12, 2024, 9:36:34 PM",Kudos,Activity,12393885389
"Sep 12, 2024, 9:36:50 PM",Kudos,Activity,12393733355
"Sep 12, 2024, 9:36:56 PM",Kudos,Activity,12392587806
"Sep 13, 2024, 10:27:40 AM",Kudos,Activity,12398294584
"Sep 13, 2024, 10:27:45 AM",Kudos,Activity,12397322699
"Sep 13, 2024, 10:27:59 AM",Kudos,Activity,12394546514
"Sep 13, 2024, 6:21:02 PM",Kudos,Activity,12400047284
"Sep 14, 2024, 8:57:41 AM",Kudos,Activity,12404860854
"Sep 14, 2024, 6:20:46 PM",Kudos,Activity,12409232661
"Sep 14, 2024, 6:20:52 PM",Kudos,Activity,12405510433
"Sep 14, 2024, 6:21:00 PM",Kudos,Activity,12410134896
"Sep 14, 2024, 6:21:03 PM",Kudos,Activity,12407728456
"Sep 15, 2024, 4:04:07 PM",Kudos,Activity,12415313702
"Sep 17, 2024, 5:54:59 PM",Kudos,Activity,12432610894
"Sep 17, 2024, 9:06:50 PM",Kudos,Activity,12424112785
"Sep 17, 2024, 9:07:06 PM",Kudos,Activity,12429047134
"Sep 17, 2024, 9:08:23 PM",Kudos,Activity,12421644864
"Sep 18, 2024, 8:07:02 AM",Kudos,Activity,12436086322
"Sep 18, 2024, 11:10:05 AM",Kudos,Activity,12438722889
"Sep 18, 2024, 6:34:03 PM",Kudos,Activity,12442542356
"Sep 18, 2024, 6:34:20 PM",Kudos,Activity,12443615864
"Sep 19, 2024, 6:04:59 PM",Kudos,Activity,12449009376
"Sep 19, 2024, 6:05:03 PM",Kudos,Activity,12452567158
"Sep 19, 2024, 6:05:06 PM",Kudos,Activity,12451727478
"Sep 19, 2024, 6:30:59 PM",Kudos,Activity,12452890079
"Sep 20, 2024, 7:23:30 AM",Kudos,Activity,12453130772
"Sep 20, 2024, 6:22:35 PM",Kudos,Activity,12459696425
"Sep 22, 2024, 8:35:09 AM",Kudos,Activity,12464044807
"Sep 22, 2024, 6:34:05 PM",Kudos,Activity,12475233887
"Sep 24, 2024, 9:23:22 PM",Kudos,Activity,12494386764
"Sep 24, 2024, 9:23:28 PM",Kudos,Activity,12494135658
"Sep 24, 2024, 9:23:35 PM",Kudos,Activity,12493727841
"Sep 24, 2024, 9:23:40 PM",Kudos,Activity,12489512237
"Sep 24, 2024, 9:23:42 PM",Kudos,Activity,12489039437
"Sep 26, 2024, 8:05:22 PM",Kudos,Activity,12510622325
"Sep 26, 2024, 8:07:01 PM",Kudos,Activity,12508449736
"Sep 26, 2024, 8:07:03 PM",Kudos,Activity,12507659985
"Sep 26, 2024, 8:07:11 PM",Kudos,Activity,12509737670
"Sep 28, 2024, 3:10:55 PM",Kudos,Activity,12523419177
"Sep 28, 2024, 6:51:53 PM",Kudos,Activity,12526131967
"Sep 28, 2024, 6:51:57 PM",Kudos,Activity,12525725362
"Sep 29, 2024, 1:04:54 PM",Kudos,Activity,12530031268
"Sep 29, 2024, 1:05:01 PM",Kudos,Activity,12530641623
"Sep 29, 2024, 5:45:44 PM",Kudos,Activity,12533762265
"Oct 1, 2024, 10:04:16 AM",Kudos,Activity,12545721258
"Oct 3, 2024, 6:07:53 PM",Kudos,Activity,12566599848
"Oct 4, 2024, 5:28:42 AM",Kudos,Activity,12567053272
"Oct 5, 2024, 4:44:45 PM",Kudos,Activity,12579168531
"Oct 5, 2024, 4:44:48 PM",Kudos,Activity,12578941901
"Oct 5, 2024, 4:45:01 PM",Kudos,Activity,12577477675
"Oct 5, 2024, 4:45:06 PM",Kudos,Activity,12572770033
"Oct 7, 2024, 5:19:27 AM",Kudos,Activity,12589850531
"Oct 8, 2024, 9:50:23 AM",Kudos,Activity,12602709215
"Oct 8, 2024, 11:20:43 AM",Kudos,Activity,12598292044
"Oct 8, 2024, 1:45:50 PM",Kudos,Activity,12595246114
"Oct 8, 2024, 6:12:32 PM",Kudos,Activity,12605743637
"Oct 8, 2024, 6:12:47 PM",Kudos,Activity,12607495153
"Oct 8, 2024, 6:43:09 PM",Kudos,Activity,12608022167
"Oct 8, 2024, 6:43:11 PM",Kudos,Activity,12607805412
"Oct 8, 2024, 6:43:16 PM",Kudos,Activity,12607919917
"Oct 10, 2024, 10:27:11 AM",Kudos,Activity,12619395456
"Oct 10, 2024, 6:08:40 PM",Kudos,Activity,12622996351
"Oct 10, 2024, 6:47:46 PM",Kudos,Activity,12623466464
"Oct 10, 2024, 6:48:59 PM",Kudos,Activity,12621229347
"Oct 11, 2024, 7:09:36 AM",Kudos,Activity,12626752765
"Oct 12, 2024, 12:12:52 PM",Kudos,Activity,12634132868
"Oct 13, 2024, 8:59:31 AM",Kudos,Activity,12639388395
"Oct 13, 2024, 8:59:49 AM",Kudos,Activity,12638505442
